"Language","original","english","french","russian","german","polish","portuguese","danish","czech", 
"HAB_TITLE","Heroes And Bandits","Heroes And Bandits","Héros et Bandits","Герои и бандиты","Helden und Banditen","Bohaterowie i Bandyci","Heróis e Bandidos","Helte og Banditer","Hrdinové a bandité","英雄与强盗", 
"HAB_HUMANITY","Humanity","Humanity","Humanité","Репутация","Menschheit","Humanitarność","Humanidade","Menneskelighed","Lidstvo","人性", 
"HAB_HUMANITY_CHANGEHEADING","Humanity Affected","Humanity Affected","Humanité Affectée","Изменение человечности", "Menschheit betroffen","Wpłynięto na Humanitarność","Humanidade afetada","Menneskelig effekt","Zasažené Lidstvo","受人类影响", 
"HAB_HUMANITY_LEVELUP_HEADING","Level Changed","Level Changed","Niveau Modifié","Уровень изменился","Level geändert","Level zmieniony","Nível alterado","Level ændert","Úroveň změněna","级别已更改", 
"HAB_HUMANITY_LEVELUP_PRE","You are now ","You are now ","Vous êtes maintenant au ","Ваша репутация ", "Sie sind jetzt ","Jesteś teraz ","Agora você é ","Du er her nu ","Jsi te ","你现在", 
"HAB_HUMANITY_WARNING","Warning","Warning","Warning","Предупреждение", "Warnung", "Uwaga","Atenção","Advarsel",Varování","警告",  
"HAB_KILLFEED_HEADING", "Killfeed", "Killfeed", "Killfeed", "Киллфид", "Killfeed", "Killfeed","Killfeed","Killfeed","Killfeed","杀死饲料", 
"HAB_KILLFEED_PRE","A ","A ","Un ","", "Ein ","","um","En","","一", 
"HAB_KILLFEED_KILLED","killed ","killed ","a tué ","Убит ", " getötet "," zabił ","morto","Dræbt","zabil","被杀", 
"HAB_KILLFEED_WITH"," with "," with "," avec "," с помощью ", " mit ","z","com","Med","","与",  
"HAB_KILLFEED_AT"," at "," at "," à "," c "," auf ","z","em","Af","v","在", 
"HAB_KILLFEED_METERS"," meters"," meters"," mètres"," Метров"," Meter ","metrów","metros","Meter","metrů","米",  
"HAB_KILLFEED_FISTS"," their fists"," their fists"," leurs poings"," Кулаками", " ihre Fäuste ", "  pięści","seus punhos","Knytnæve","jejich pěsti","他们的拳头",  
"HAB_KILLFEED_SUCIDEPOST"," killed them self", " killed them self"," se sont tués"," Убил Себя", " hat sie selbst getötet", " zabił sam siebie"," matou ele mesmo"," Slog sig selv ihjel"," zabil je sám","杀死他们自己",  
"HAB_KILLFEED_SUCIDEHEADING", "Player Suicide", "Player Suicide", "Suicide du joueur", "Совершил Самоубийство", "Spieler Sucide", "Samobójstwo","Suicídio do jogador","Begik selvmord","Sebevraždy","玩家自杀", 
"HAB_CHECK_PRESTAT","You're Total","You're Total","Vous êtes total","Ваша статистика", "Sie sind total ", "Posiadasz ogółem ","Suas estatísticas","Du er total","Jsi celkem","你总数",  
"HAB_CHECK_PREHUMANITY","Your Current Humanity is","Your Current Humanity is","Votre humanité actuelle est","Ваша репутация", "Ihre gegenwärtige Menschheit ist", "Twoja humanitarność wynosi","Sua humanidade atual é","Din menneskelige effekt er","Vaše současné lidstvo je",你当前的人性是",  
"HAB_CHECK_NOTFOUND","Can't find stat","Can't find stat","Impossible de trouver la statistique","Отсутствует Статистика", "Kann keine Statistik finden", "Nie można znaleźć statystyk","Não foi possível encontrar suas estatísticas","Kan ikke finde statistik","Nelze najít stat","找不到统计",  
"HAB_CHECK_IS","is","is","est","is","ist","równe","é","Er","je","是",  
"HAB_LEVEL","Level","Level","Niveau","Уровень","Stufe","Level","Nível","Niveau","Úroveň","水平",  
"HAB_PLAYERKILLS","Player Kills","Player Kills","Le joueur tue","Убито игроков","Getötete Spieler","Zabici Gracze","Abates de jogadores","Dræbte spillere","Zabito Hráčů","玩家杀死", 
"HAB_ZOMBIEKILLS","Zombie Kills","Zombie Kills","Zombie Tue","Убито зомби","Getötete Zombies","Zabite Zombie","Zumbis mortos","Dræbte zombier","Zabito Zmobie","僵尸杀", 
"HAB_RAID","Raid Actions","Raid Actions","Actions de raid","Рейды","Raid-Aktionen","Akcje Najazdu","Ações de raid","Raid handlinger","Nájezdové akce","突袭行动",  
"HAB_SUCIDES","Suicides","Suicides","Suicides","Самоубийства","Selbstmorde","Samobójstwa","Suicídios","Selvmord","tilhørsforhold","Počet Sebevražd","自杀",  
"HAB_AFFINITY","Affinity","Affinity","Affinité","Ранг","Affinität","Ranga","Afinidade","Helte og Banditer","Afinita","亲和力",  
"HAB_HERO","Hero","Hero","Héros","Герой","Hero","Bohater","Herói","Helte","Hrdina","英雄",  
"HAB_BANDIT","Bandit","Bandit","Bandit","Бандит","Bandit","Bandyta","Bandido","Bandit","Bandita","土匪",  
"HAB_BAMBI","Bambi","Bambi","Bambi","Выживший","Bambi","Bambi","Bambi","Bambi","Bambi","小鹿斑比", 
"HAB_MEDIC","Medic","Medic","Medic","Medic","Medic","Medic","Médico","Medic","Medic","军医", 
"HAB_MEDIC_ACTIONS","Medic Actions","Medic Actions","Actions du Medic","медицинская помощь","Medizinische Aktionen","Akcje Medyczne","Ações médicas","Medicinsk Behandling","Lékařské akce","军医行动",  
"HAB_HUNTER","Hunter","Hunter","Chasseur","Oхотник","Jäger","Myśliwy","Caçador","Jæger","Lovec","猎人", 
"HAB_HUNTS","Animal Kills","Animal Kills","Animaux tués","Убийство Животных","Getötete Tiere","Zabite Zwierzęta","Animais mortos","Dræbte Dyre","Zabito Zvířat","杀死动物",  
"HAB_BLANK","","","","","","","","","","",  
